<p>NO</p>,<p>名前</p>,<p>NAME</p>,<p>POS</p>,<p>身長<br>(cm)</p>,<p>体重<br>(kg)</p>,<p>誕生日</p>,<p>NFL<br>年数</p>
92,ジャバリ・ジニガ,Jabari Zuniga,DE,190,119,Florida,
48,ケニー・ヤボア,Kenny Yeboah,TE,190,113,Mississippi,
02,ザック・ウィルソン,Zach Wilson,QB,190,95,Brigham Young,
95,クイネン・ウィリアムス,Quinnen Williams,DT,190,137,Alabama,
05,マイク・ホワイト,Mike White,QB,195,98,Western Kentucky,
85,トレボン・ウェスコ,Trevon Wesco,TE,190,121,West Virginia,
35,オースティン・ウォルター,Austin Walter,RB,172,91,Rice,
75,アライジャ・ベラタッカー,Alijah Vera'Tucker,OG,193,143,USC,
62,グレッグ・ヴァン・Roten,Greg Van,OG,190,138,Pennsylvania,
95,ジェレマイア・バロアガ,Jeremiah Valoaga,DE,198,124,Nevada'Las Vegas,
17,ビンセント・スミス,Vyncint Smith,WR,190,91,Limestone College,
16,ジェフ・スミス,Jeff Smith,WR,185,88,Boston College,
79,Tanzel・スマート,Tanzel Smart,DT,185,133,Tulane,
44,ジェミアン・シャーウッド,Jamien Sherwood,LB,187,98,Auburn,
97,ネイサン・シェパード,Nathan Shepherd,DE,193,143,Fort Hays State,
12,ジョリロ・スコット,Jaleel Scott,WR,195,95,New Mexico State,
46,エドモンド・ロビンソン,Edmond Robinson,LB,190,111,Newberry,
55,Hamilcar・Rashed・Jr.,Hamilcar Rashed,LB,187,113,Oregon State,
98,シェルドン・ランキンス,Sheldon Rankins,DT,187,138,Louisville,
41,ジェイソン・ピノック,Jason Pinnock,CB,182,93,Pittsburgh,
93,カイル・フィリップス,Kyle Phillips,DE,193,125,Tennessee,
43,デルシャン・フィリップス,Del'Shawn Phillips,LB,187,104,Illinois,
22,ラミカル・ペリン,La'Mical Perine,RB,180,98,Florida,
35,シャロッド・ニースマン,Sharrod Neasman,DB,180,96,Florida Atlantic,
45,ハムサ・ナイズルーディン,Hamsah Nasirildeen,LB,190,97,Florida State,
01,クリス・ナガー,Chris Naggar,K,180,87,Southern Methodist,
61,ジェイムズ・マレイ,James Murray,C,195,138,Holy Cross,
57,C.J.・モズリー,C.J. Mosley,ILB,187,113,Alabama,
76,モーガン・モーゼス,Morgan Moses,OT,198,149,Virginia,
04,ジェイムズ・モーガン,James Morgan,QB,193,103,Florida International,
08,イライジャ・ムーア,Elijah Moore,WR,172,83,Mississippi,
00,デビッド・ムーア,David Moore,G,190,145,Grambling State,
14,D.J.・モントゴメリー,D.J. Montgomery,WR,185,91,Austin Peay State,
11,デンゼル・ミムズ,Denzel Mims,WR,190,93,Baylor,
60,コナー・マガバン,Connor McGovern,OG,193,138,Missouri,
69,コナー・マクダーモット,Conor McDermott,OT,203,140,UCLA,
20,マーカス・メイ,Marcus Maye,FS,182,93,Florida,
96,ジョナサン・マーシャル,Jonathan Marshall,DT,190,140,Arkansas,
07,ブレイデン・マン,Braden Mann,P,180,89,Texas A&M,
83,ジョシュ・マローン,Josh Malone,WR,190,93,Tennessee,
33,ゼン・ルイス,Zane Lewis,CB,185,86,Air Force,
65,コーリー・レビン,Corey Levin,OG,193,139,Tennessee'Chattanooga,
58,カール・ローソン,Carl Lawson,DE,187,120,Auburn,
