<p>NO</p>,<p>名前</p>,<p>NAME</p>,<p>POS</p>,<p>身長<br>(cm)</p>,<p>体重<br>(kg)</p>,<p>誕生日</p>,<p>NFL<br>年数</p>
33,ジャマール・アダムズ,Jamal Adams,SS,185,96,1995/10/17,0,
11,ロビー・アンダーソン,Robby Anderson,WR,190,86,1993/5/9,2,
47,デビッド・バス,David Bass,OLB,193,121,1990/9/11,5,
68,ケルヴィン・ビーチャム,Kelvin Beachum,OT,190,139,1989/6/8,6,
50,フレディ・ビショップ,Freddie Bishop,OLB,190,115,1990/2/25,1,
23,テレンス・ブルックス,Terrence Brooks,DB,180,90,1992/3/2,4,
32,ジャストン・バリス,Juston Burris,CB,182,96,1993/8/4,2,
77,ジェイムズ・カーペンター,James Carpenter,OG,195,145,1989/3/22,7,
54,ブルース・カーター,Bruce Carter,OLB,187,108,1988/2/19,7,
07,チャンドラー・カタンザーロ,Chandler Catanzaro,K,190,90,1991/2/26,4,
21,モーリス・クレイボーン,Morris Claiborne,CB,180,87,1990/2/7,6,
38,ゼイヴィアー・コウルマン,Xavier Coleman,CB,180,86,1995/1/13,0,
75,ゼイヴィアー・クーパー,Xavier Cooper,DE,193,136,1991/11/30,3,
56,デマリオ・デービス,Demario Davis,ILB,187,112,1989/1/11,6,
49,ディラン・ドナヒュー,Dylan Donahue,LB,187,112,1992/8/20,0,
70,ダコタ・ドウジャー,Dakota Dozier,OG,193,142,1991/4/30,4,
94,コニー・イーリー,Kony Ealy,DE,193,124,1991/12/21,4,
04,ラック・エドワーズ,Lac Edwards,P,193,94,1992/4/27,2,
81,クインシー・エヌンワ,Quincy Enunwa,WR,187,102,1992/5/31,3,
03,ブリズリー・エスタイム,Brisly Estime,WR,175,79,//,0,
22,マット・フォーテ,Matt Forte,RB,187,98,1985/12/10,10,
87,クリス・グラッグ,Chris Gragg,TE,190,110,1990/6/30,5,
57,オブーム・グワチャム,Obum Gwacham,LB,195,111,1991/3/20,3,
05,クリスチャン・ハッケンバーグ,Christian Hackenberg,QB,193,103,1995/2/14,2,
16,チャド・ハンセン,Chad Hansen,WR,185,91,1995/1/18,0,
78,ジョナサン・ハリソン,Jonotthan Harrison,C,193,136,1991/8/25,4,
42,トーマス・ヘネシー,Thomas Hennessy,LS,187,111,1994/6/11,0,
71,ベン・イジャラナ,Ben Ijalana,OT,193,146,1989/8/6,7,
48,ジョーダン・ジェンキンス,Jordan Jenkins,OLB,190,117,1994/7/1,2,
76,ウェズリー・ジョンソン,Wesley Johnson,C,195,134,1991/1/9,4,
31,デリック・ジョーンズ,Derrick Jones,CB,187,85,1994/12/4,0,
10,ジャーメイン・カース,Jermaine Kearse,WR,185,94,1990/2/6,6,
37,ブライソン・キートン,Bryson Keeton,CB,187,86,1993/2/24,1,
14,ジェレミー・カーリー,Jeremy Kerley,WR,175,85,1988/11/8,7,
58,ダロン・リー,Darron Lee,ILB,185,105,1994/10/18,2,
86,ジョーダン・レゲット,Jordan Leggett,TE,195,117,1995/1/31,0,
95,ジョシュ・マーティン,Josh Martin,OLB,190,111,1991/11/7,5,
55,ロレンゾ・モールディン,Lorenzo Mauldin,OLB,193,117,1992/10/1,3,
26,マーカス・メイ,Marcus Maye,FS,180,93,1993/3/9,0,
15,ジョシュ・マッカウン,Josh McCown,QB,193,98,1979/7/4,15,
35,イライジャ・マグワイア,Elijah McGuire,RB,175,97,1994/6/1,0,
99,スティーヴ・マクレンドン,Steve McLendon,NT,190,140,1986/1/3,8,
36,ダグ・ミドルトン,Doug Middleton,DB,182,95,1993/9/25,1,
45,ロレンテズ・マイルズ,Rontez Miles,FS,182,92,1988/11/25,3,
87,ジョジョ・ナトソン,JoJo Natson,WR,170,69,1994/2/1,0,
30,ロバート・ネルソン,Robert Nelson,DB,175,79,1990/2/16,3,
17,シャロン・ピーク,Charone Peake,WR,187,94,1992/10/16,2,
98,マイク・ペネル,Mike Pennel,DE,193,150,1991/5/9,4,
09,ブライス・ペティ,Bryce Petty,QB,190,104,1991/5/31,3,
29,ビラル・パウェル,Bilal Powell,RB,177,92,1988/10/27,7,
79,ブレント・クーベル,Brent Qvale,OT,200,143,1991/3/11,3,
27,ダリル・ロバーツ,Darryl Roberts,CB,182,82,1990/11/26,3,
36,ラシャード・ロビンソン,Rashard Robinson,CB,185,80,1995/7/23,2,
53,エドモンド・ロビンソン,Edmond Robinson,LB,190,111,1992/2/23,3,
88,オースティン・セフィリアン-ジェンキンス,Austin Seferian-Jenkins,TE,195,118,1992/9/29,4,
72,ブランドン・シェル,Brandon Shell,OT,195,147,1992/2/6,2,
41,バスター・スクライン,Buster Skrine,CB,175,83,1989/4/26,7,
19,デヴィン・スミス,Devin Smith,WR,185,90,1992/3/3,3,
51,ジュリアン・スタンフォード,Julian Stanford,ILB,185,104,1990/9/2,4,
85,ニール・スターリング,Neal Sterling,WR,193,116,1992/1/14,3,
18,アーデアリウス・スチュワート,ArDarius Stewart,WR,180,93,1993/12/8,0,
44,ローレンス・トーマス,Lawrence Thomas,FB,190,129,1993/4/16,2,
83,エリック・トムリンソン,Eric Tomlinson,TE,198,119,1992/4/22,2,
96,モハメド・ウィルカーソン,Muhammad Wilkerson,DE,193,143,1989/10/22,7,
92,レオナード・ウィリアムス,Leonard Williams,DE,195,137,1994/6/20,3,
67,ブライアン・ウィンタース,Brian Winters,OG,193,145,1991/7/10,5,
